state,district,block
Karnataka,Kodagu,GONIKOPPA
Karnataka,Kodagu,KUSHALNAGARA
Karnataka,Kodagu,MADIKERI
Karnataka,Hassan,ALURU
Karnataka,Hassan,ARAKALAGUDU
Karnataka,Hassan,ARASIKERE
Karnataka,Hassan,BELUR
Karnataka,Hassan,CHANNARAYAPATTANA
Karnataka,Hassan,HASSAN
Karnataka,Hassan,HOLENARASIPURA
Karnataka,Hassan,KRISHNA
Karnataka,Hassan,SAKALESHAPURA
Karnataka,Uttara Kannada,ANKOLA
Karnataka,Uttara Kannada,BHATKAL
Karnataka,Uttara Kannada,DANDELI
Karnataka,Uttara Kannada,HALIYAL
Karnataka,Uttara Kannada,HONNAVAR
Karnataka,Uttara Kannada,JOIDA
Karnataka,Uttara Kannada,KARWAR
Karnataka,Uttara Kannada,KUMTA
Karnataka,Uttara Kannada,MUNDGOD
Karnataka,Uttara Kannada,SIDDAPUR
Karnataka,Uttara Kannada,SIRSI
Karnataka,Uttara Kannada,YELLAPUR
Telangana,Adilabad,Adilabad Rural(New)
Telangana,Adilabad,Adilabad(Mun)
Telangana,Adilabad,Bazarhathnoor
Telangana,Adilabad,Bela
Telangana,Adilabad,Bheempur
Telangana,Adilabad,Boath
Telangana,Adilabad,Gadiguda(New)
Telangana,Adilabad,Gudihathnoor
Telangana,Adilabad,Ichoda
Telangana,Adilabad,Inderavelly
Telangana,Adilabad,Jainad
Telangana,Adilabad,Mavala (New)
Telangana,Adilabad,Narnoor
Telangana,Adilabad,Neradigonda
Telangana,Adilabad,Sirikonda(New)
Telangana,Adilabad,Talamadugu
Telangana,Adilabad,Tamsi
Telangana,Adilabad,Utnoor
Telangana,Badradri,Allapalli
Telangana,Badradri,Annapureddypalli
Telangana,Badradri,Aswapuram
Telangana,Badradri,Aswaraopeta
Telangana,Badradri,Bhadrachalam
Telangana,Badradri,Burgampahad
Telangana,Badradri,Chandrugonda
Telangana,Badradri,Cherla
Telangana,Badradri,Chunchupalli
Telangana,Badradri,Dammapeta
Telangana,Badradri,Dummugudem
Telangana,Badradri,Gundala
Telangana,Badradri,Julurpad
Telangana,Badradri,Karakagudem
Telangana,Badradri,Kothagudem
Telangana,Badradri,Kothagudem(Mun)
Telangana,Badradri,Laxmidevipalli
Telangana,Badradri,Manugur(Mun)
Telangana,Badradri,Manuguru
Telangana,Badradri,Mulkalapalle
Telangana,Badradri,Palwancha
Telangana,Badradri,Palwancha(Mun)
Telangana,Badradri,Pinapaka
Telangana,Badradri,Sujathanagar
Telangana,Badradri,Tekulapalle
Telangana,Badradri,Yellandu
Telangana,Badradri,Yellandu(Mun)
Telangana,Hyderabad,Amberpet
Telangana,Hyderabad,Ameerpet
Telangana,Hyderabad,Asifnagar
Telangana,Hyderabad,Bandlaguda
Telangana,Hyderabad,Bhadurpura
Telangana,Hyderabad,Charminar
Telangana,Hyderabad,Circle I
Telangana,Hyderabad,Circle II
Telangana,Hyderabad,Circle III
Telangana,Hyderabad,Circle IV
Telangana,Hyderabad,Circle IX
Telangana,Hyderabad,Circle V
Telangana,Hyderabad,Circle VI
Telangana,Hyderabad,Circle VII
Telangana,Hyderabad,Circle VIII
Telangana,Hyderabad,Gaddiannaram
Telangana,Hyderabad,Golconda
Telangana,Hyderabad,Himayatnagar
Telangana,Hyderabad,Hyderabad
Telangana,Hyderabad,Khairtabad
Telangana,Hyderabad,Malakpet
Telangana,Hyderabad,Marredpally
Telangana,Hyderabad,Musheerabad
Telangana,Hyderabad,Nampally
Telangana,Hyderabad,Saidabad
Telangana,Hyderabad,Secunderabad
Telangana,Hyderabad,Shaikpet
Telangana,Hyderabad,Tirumalgherry
Telangana,Jagtial,Beerpur *
Telangana,Jagtial,Buggaram *
Telangana,Jagtial,Dharmapuri
Telangana,Jagtial,Gollapalle
Telangana,Jagtial,Ibrahimpatnam
Telangana,Jagtial,Jagitial Rural *
Telangana,Jagtial,Jagityal(Mun)
Telangana,Jagtial,Jagtial
Telangana,Jagtial,Kathlapur
Telangana,Jagtial,Kodimial
Telangana,Jagtial,Koratla
Telangana,Jagtial,Koratla(Mun)
Telangana,Jagtial,Mallapur
Telangana,Jagtial,Mallial
Telangana,Jagtial,Medipalle
Telangana,Jagtial,Metpalle
Telangana,Jagtial,Metpalle(Mun)
Telangana,Jagtial,Pegadapalle
Telangana,Jagtial,Raikal
Telangana,Jagtial,Sarangapur
Telangana,Jagtial,Velgatoor
Telangana,Jangaon,Bachannapet
Telangana,Jangaon,Chilpur
Telangana,Jangaon,Devaruppula
Telangana,Jangaon,Ghanpur (Station)
Telangana,Jangaon,Gundala
Telangana,Jangaon,Jangaon
Telangana,Jangaon,Jangaon(Mun)
Telangana,Jangaon,Kodakandla
Telangana,Jangaon,Lingalaghanpur
Telangana,Jangaon,Narmetta
Telangana,Jangaon,Palakurthi
Telangana,Jangaon,Raghunathpalle
Telangana,Jangaon,Tharigoppula
Telangana,Jangaon,Zaffergadh
Telangana,Jayashankar,Bhupalapally(Mun)
Telangana,Jayashankar,Bhupalpalle
Telangana,Jayashankar,Chityal
Telangana,Jayashankar,Eturnagaram
Telangana,Jayashankar,Ghanpur (Mulug)
Telangana,Jayashankar,Govindaraopet
Telangana,Jayashankar,Kannaigudem*
Telangana,Jayashankar,Kataram
Telangana,Jayashankar,Mahadevpur
Telangana,Jayashankar,Malharrao
Telangana,Jayashankar,Mangapet
Telangana,Jayashankar,Mogullapalle
Telangana,Jayashankar,Mulug
Telangana,Jayashankar,Mutharam (Mahadevpur)
Telangana,Jayashankar,Palimela*
Telangana,Jayashankar,Regonda
Telangana,Jayashankar,Tadvai
Telangana,Jayashankar,Tekumatla*
Telangana,Jayashankar,Venkatapur
Telangana,Jayashankar,Venkatapuram
Telangana,Jayashankar,Wazeed
Telangana,Jogulamba,Alampur
Telangana,Jogulamba,Dharur
Telangana,Jogulamba,Gadwal
Telangana,Jogulamba,Gadwal(Mun)
Telangana,Jogulamba,Ghattu
Telangana,Jogulamba,Ieej
Telangana,Jogulamba,Ieeja(Mun)
Telangana,Jogulamba,Itikyal
Telangana,Jogulamba,Kaloor Thimmandoddi
Telangana,Jogulamba,Maldakal
Telangana,Jogulamba,Manopad
Telangana,Jogulamba,Rajoli
Telangana,Jogulamba,Undavelly
Telangana,Jogulamba,Waddepalle
Telangana,Kamareddy,Banswada
Telangana,Kamareddy,Bhiknoor
Telangana,Kamareddy,Bibipet
